0, 36751.65055808889, -74183.14933599644, -208844.4705323134
1, 39502.81908848505, -28238.27240276926, -161652.41167005833
2, 42857.8724755684, -14245.87794089876, -113839.93163194807
3, 42857.8724755684, -1317.553649023698, -87803.87207005938
4, 39415.972679719445, 12580.36025124791, -57040.95563014835
5, 41411.200430632845, 19854.739087688722, -28802.754223587544
6, 43882.30919001436, 27198.091048728038, -9034.939087043414
7, 43882.30919001436, 30305.346677862843, -1269.8444614124164
8, 43882.30919001436, 32305.82754548449, 18814.846278616227
9, 43160.594223575754, 33373.983660376376, 18625.709274195768
10, 44618.655095719136, 33122.77027685478, -50700.14522633731
11, 41400.91275596744, 34330.57921173096, 19432.665453161673
12, 43655.83934077473, 35014.34034854807, 24951.19455969888
13, 43554.35459218557, 35383.165128254244, 19896.115998876267
14, 44087.01884405928, 35586.03327452646, -7690.761788438438
15, 44087.01884405928, 35665.16244175407, 26089.390097246884
16, 44087.01884405928, 36168.770519663136, 26338.22129017057
17, 44087.01884405928, 36524.88710841917, 28323.981859477484
18, 44087.01884405928, 36090.062748508884, 29980.737131722286
19, 44087.01884405928, 36410.03063459421, 30257.29834049091
20, 43127.73568036321, 34900.29944125045, -137257.6566345811
21, 42252.00974689243, 36534.18055183128, 30448.77640188209
22, 40960.50520366266, 36558.50504403058, 32640.5885863531
23, 42034.655347406, 36467.55852059813, 29351.818000801504
24, 41392.239281987, 36341.833898960205, 29351.818000801504
25, 41926.430207941536, 36790.90220312826, 28976.045402616408
26, 42093.59087838633, 37133.63881995914, 31301.408397217572
27, 42586.21982863132, 37249.20954248064, 30428.988594988907
28, 43174.07972116325, 37938.78129627228, 30595.12798082141
29, 43960.4487859263, 37899.676705356374, 30595.12798082141
30, 43958.82241323884, 37771.5259222012, 30595.12798082141
31, 44484.2780826032, 37640.61432341384, 30595.12798082141
32, 43555.170532729026, 37557.80967879042, 29963.886701636984
33, 46150.09607482622, 37722.49649956486, 29963.886701636984
34, 44141.545071975925, 38273.071844430924, 32559.19809874933
35, 43819.705186067105, 38348.43458131885, 31664.91127308629
36, 43017.17668330884, 38729.727795468054, 31683.652880835565
37, 45136.8097798894, 39021.596166820156, 31120.306600988602
38, 46381.019798351845, 39372.224175768206, 32246.133694078577
39, 46381.019798351845, 39627.70015389004, 34926.3313330406
40, 46210.54913881073, 39585.93232281747, 34926.3313330406
41, 46210.54913881073, 39682.95655026005, 34367.31192823635
42, 46210.54913881073, 39537.47911517318, 34367.31192823635
43, 46210.54913881073, 39486.71761982302, -9283.276352297951
44, 45813.05588187131, 40240.644226002914, 34132.81098020762
45, 45813.05588187131, 40388.09042593449, 35662.46040958196
46, 45813.05588187131, 40394.457855716944, 34305.80085117938
47, 46680.82655246809, 40435.151826206675, 34305.80085117938
48, 45813.05588187131, 40648.0236652585, 34305.80085117938
49, 45567.31636996721, 40399.89561629275, 34830.375249462195
50, 45480.96095249381, 40214.13129731695, 34830.375249462195
51, 45480.96095249381, 40240.62550430811, 34830.375249462195
52, 45480.96095249381, 40279.58437905688, 36769.275997247176
53, 44625.296014549065, 40322.621352827024, 37086.95961909957
54, 45464.56071504806, 40686.15999501948, 37917.83700026249
55, 44804.97338938643, 40442.80153040393, 36091.12547446582
56, 46416.78710681117, 40498.3064161765, 35416.07677144088
57, 45754.92117186569, 40646.08737672354, 37032.8557406077
58, 46416.78710681117, 41141.325219640334, 37032.8557406077
59, 46416.78710681117, 41392.40482416324, 36987.7063257536
60, 46628.70094967149, 41629.181848088614, 37623.7428979487
61, 46628.70094967149, 41554.93914939847, 38740.49732897601
62, 45966.835014726, 41545.528462450064, 38527.02160598774
63, 45966.835014726, 41236.434355538186, 36917.38773889516
64, 45966.835014726, 41295.82502808501, 37716.04356452129
65, 45443.76746902184, 41553.2845139949, 38527.02160598774
66, 44995.11141461955, 41329.07816335613, 26561.809176834184
67, 44925.552138652616, 41646.75136407938, 33019.61243503024
68, 45018.230306883706, 41791.45502678423, 33822.87722146708
69, 45018.230306883706, 41774.63336638838, 37134.390729202896
70, 45626.23981030608, 40866.95090083743, -78237.37081766513
71, 44004.55775427952, 41727.55642009385, 38435.81788522572
72, 44244.59192411868, 41409.37027458797, 38435.81788522572
73, 44244.59192411868, 41596.08944820769, 38435.81788522572
74, 44614.90466418091, 41434.11869880586, 38435.81788522572
75, 44614.90466418091, 41390.4875388047, 39480.59897575623
76, 44074.17390551015, 41201.57134668869, 39480.59897575623
77, 44156.28516698083, 41047.903246200134, 39543.47063778076
78, 44074.17390551015, 40960.99562792541, 39221.31091197485
79, 42831.75676277872, 40829.83261008472, 39243.52664506196
80, 42792.52531315509, 40742.84088124847, 39243.52664506196
81, 43895.60259703758, 39461.787804632884, -104244.65584472008
82, 43782.24405965674, 41169.91814802284, 39503.79776302112
83, 43792.64012510586, 41044.25097224311, 39513.41675447368
84, 43170.91268629757, 40878.473176411884, 38668.61895706497
85, 43170.91268629757, 40953.91224517375, 39289.6157590246
86, 42792.52531315509, 40843.37475239185, 39444.70517869361
87, 43170.91268629757, 40807.689227724535, 39444.70517869361
88, 42690.09910329874, 40806.81051013318, 39513.41675447368
89, 42690.09910329874, 40841.04170604413, 39503.79776302112
90, 42690.09910329874, 40813.11407695807, 39503.79776302112
91, 43170.91268629757, 40656.938307540484, 39444.70517869361
92, 42690.09910329874, 40665.52170649113, 39503.79776302112
93, 42501.16306830822, 40586.599237825976, 39503.79776302112
94, 43170.91268629757, 40551.71475082865, 38808.80217602576
95, 42210.02932397044, 40533.60671561144, 39289.6157590246
